,B:baggage_damaged,B:baggage_delayed_lost,B:change_fee_dispute,B:flight_cancellation,B:flight_delay,B:flight_status_inquiry,B:forced_gate_check_complaint,B:general_dissatisfaction_venting,B:missed_connection_rebooking,B:other_acknowledgement_thanks,B:other_non_actionable,B:other_out_of_domain,B:positive_feedback_praise,B:refund_request,B:seat_assignment_change,B:seat_upgrade_request,B:service_failure_complaint,B:staff_conduct_complaint
A:baggage_damaged,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A:baggage_delayed_lost,0,7,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1
A:change_fee_dispute,0,0,2,0,2,4,0,2,0,0,0,0,0,2,0,1,0,0
A:flight_cancellation,0,0,1,2,3,3,0,2,0,0,0,0,1,0,0,0,0,0
A:flight_delay,0,0,0,1,35,1,0,6,0,0,0,0,0,0,0,0,0,0
A:flight_status_inquiry,0,0,0,0,4,12,0,1,0,2,0,0,0,0,0,0,0,0
A:forced_gate_check_complaint,0,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0
A:general_dissatisfaction_venting,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0
A:missed_connection_rebooking,0,0,0,1,10,6,0,0,0,0,0,0,1,0,0,0,0,0
A:other_acknowledgement_thanks,0,0,0,0,0,0,0,1,0,13,1,0,7,1,0,0,0,0
A:other_non_actionable,0,1,0,0,1,13,0,6,0,4,9,0,5,2,7,1,2,2
A:other_out_of_domain,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
A:positive_feedback_praise,0,0,0,0,0,3,0,2,0,1,3,0,14,0,0,0,0,0
A:refund_request,0,0,1,0,0,1,0,3,0,0,0,0,0,7,0,0,0,0
A:seat_assignment_change,0,0,0,0,2,2,0,0,0,0,0,0,0,1,6,0,0,0
A:seat_upgrade_request,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
A:service_failure_complaint,0,0,0,0,0,3,0,5,0,0,0,0,1,0,2,0,3,1
A:staff_conduct_complaint,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,8
