label,A_n,B_n,agree_n,P_A_given_B,R_A
missed_connection_rebooking,18,0,0,0.0,0.0
baggage_damaged,2,1,1,1.0,0.5
other_out_of_domain,3,1,1,1.0,0.333
forced_gate_check_complaint,10,1,1,1.0,0.1
seat_upgrade_request,2,3,1,0.333,0.5
flight_cancellation,12,4,2,0.5,0.167
change_fee_dispute,13,4,2,0.5,0.154
service_failure_complaint,15,7,3,0.429,0.2
seat_assignment_change,11,18,6,0.333,0.545
refund_request,12,13,7,0.538,0.583
baggage_delayed_lost,11,11,7,0.636,0.636
staff_conduct_complaint,14,12,8,0.667,0.571
other_non_actionable,53,14,9,0.643,0.17
flight_status_inquiry,19,53,12,0.226,0.632
other_acknowledgement_thanks,23,20,13,0.65,0.565
positive_feedback_praise,23,29,14,0.483,0.609
general_dissatisfaction_venting,16,48,15,0.312,0.938
flight_delay,43,61,35,0.574,0.814
